FALL	GESCHLECHT	FILLER	GENRE	LAENGE
60	weiblich	aeh	monolog	1117
61	weiblich	stille	monolog	1136
62	weiblich	aehm	monolog	389
63	maennlich	aeh	dialog	1340
64	weiblich	stille	monolog	969
65	weiblich	aeh	dialog	824
66	maennlich	stille	monolog	645
67	weiblich	aehm	dialog	663
68	weiblich	aeh	dialog	471
69	weiblich	aehm	dialog	465
70	maennlich	aeh	monolog	489
71	maennlich	aeh	dialog	891
72	maennlich	aeh	dialog	1498
73	weiblich	aeh	dialog	1426
74	maennlich	aehm	dialog	1188
75	maennlich	stille	monolog	369
76	weiblich	aeh	dialog	560
77	maennlich	stille	monolog	1043
78	weiblich	aeh	monolog	827
79	maennlich	stille	monolog	1464
80	maennlich	stille	dialog	1360
81	weiblich	aeh	dialog	1050
82	weiblich	stille	dialog	936
83	weiblich	aehm	monolog	313
84	maennlich	aehm	monolog	467
85	maennlich	aeh	monolog	733
86	weiblich	stille	monolog	868
87	weiblich	stille	monolog	1159
88	weiblich	aeh	monolog	540
89	weiblich	stille	dialog	673
90	maennlich	aeh	dialog	906
91	maennlich	aeh	dialog	444
92	weiblich	aehm	monolog	797
93	weiblich	aehm	monolog	425
94	maennlich	aeh	dialog	631
95	weiblich	aehm	dialog	1324
96	weiblich	aeh	dialog	257
97	weiblich	aeh	monolog	1126
98	maennlich	stille	monolog	1382
99	maennlich	stille	dialog	1058
100	maennlich	aehm	monolog	1281
101	maennlich	stille	dialog	431
102	maennlich	stille	dialog	686
103	weiblich	stille	dialog	1136
104	weiblich	aeh	dialog	303
105	weiblich	aehm	dialog	1594
106	weiblich	aehm	dialog	988
107	weiblich	stille	dialog	1517
108	maennlich	stille	dialog	563
109	maennlich	aeh	dialog	1099
110	maennlich	aeh	dialog	308
111	weiblich	aeh	dialog	455
112	weiblich	aeh	monolog	1294
113	weiblich	aeh	monolog	1000
114	maennlich	stille	monolog	663
115	maennlich	aeh	monolog	485
116	weiblich	aehm	monolog	902
117	maennlich	aeh	monolog	902
118	weiblich	stille	dialog	519
119	weiblich	stille	monolog	1498
120	maennlich	stille	monolog	997
121	weiblich	stille	monolog	897
122	weiblich	aehm	dialog	372
123	weiblich	stille	monolog	393
124	weiblich	stille	dialog	1538
125	weiblich	aehm	dialog	1442
126	maennlich	aeh	dialog	1223
127	maennlich	aeh	dialog	1223
128	weiblich	aeh	dialog	964
129	weiblich	stille	monolog	431
130	maennlich	stille	monolog	720
131	weiblich	aeh	monolog	1252
132	maennlich	aeh	monolog	1029
133	maennlich	aeh	monolog	471
134	maennlich	aeh	monolog	535
135	maennlich	stille	dialog	1445
136	weiblich	stille	monolog	503
137	weiblich	aeh	monolog	929
138	weiblich	aehm	dialog	1347
139	weiblich	aeh	monolog	1400
140	weiblich	stille	monolog	414
141	weiblich	aeh	monolog	1290
142	maennlich	aeh	monolog	362
143	maennlich	aeh	dialog	1562
144	weiblich	stille	dialog	942
145	weiblich	stille	dialog	1190
146	maennlich	aeh	monolog	1527
147	weiblich	stille	monolog	1120
148	maennlich	aehm	monolog	481
149	maennlich	aeh	dialog	697
150	weiblich	aehm	dialog	662
151	maennlich	aehm	monolog	899
152	maennlich	stille	monolog	1294
153	weiblich	aehm	dialog	1065
154	weiblich	aeh	dialog	260
155	weiblich	aehm	dialog	1013
156	maennlich	stille	monolog	1219
157	weiblich	stille	monolog	1431
158	weiblich	aeh	dialog	1312
159	maennlich	aeh	dialog	1228
160	weiblich	aeh	monolog	1504
161	weiblich	aehm	monolog	1141
162	maennlich	aeh	monolog	1253
163	weiblich	stille	dialog	555
164	weiblich	aehm	dialog	771
165	weiblich	stille	monolog	459
166	weiblich	aehm	monolog	757
167	maennlich	aeh	dialog	1345
168	maennlich	aeh	monolog	1152
169	maennlich	aehm	dialog	1250
170	weiblich	aehm	dialog	1197
171	weiblich	stille	dialog	861
172	maennlich	aeh	monolog	629
173	weiblich	stille	dialog	399
174	weiblich	stille	dialog	918
175	maennlich	stille	monolog	1283
176	weiblich	aehm	monolog	341
177	maennlich	aeh	dialog	496
178	weiblich	stille	monolog	488
179	maennlich	stille	dialog	872
180	maennlich	stille	dialog	872
181	weiblich	aehm	monolog	855
182	weiblich	aehm	dialog	774
183	maennlich	stille	monolog	1275
184	weiblich	stille	dialog	1436
185	weiblich	aehm	dialog	1499
186	maennlich	aehm	monolog	1294
187	maennlich	stille	monolog	464
188	maennlich	aehm	dialog	294
189	weiblich	aeh	dialog	719
190	maennlich	aeh	dialog	258
191	weiblich	aeh	monolog	897
192	maennlich	stille	monolog	836
193	weiblich	stille	dialog	1306
194	maennlich	stille	dialog	1058
195	maennlich	aehm	monolog	1022
196	maennlich	aehm	dialog	1436
197	maennlich	aehm	monolog	645
198	weiblich	stille	monolog	933
199	maennlich	aeh	monolog	1080
200	maennlich	aeh	dialog	504
201	weiblich	aehm	dialog	1381
202	maennlich	stille	monolog	357
203	weiblich	aeh	dialog	781
204	maennlich	aeh	monolog	1600
205	maennlich	aehm	dialog	295
206	maennlich	stille	dialog	764
207	maennlich	aehm	monolog	885
208	weiblich	aeh	dialog	1427
209	maennlich	aeh	dialog	1550
210	weiblich	stille	monolog	793
211	weiblich	stille	dialog	1142
212	weiblich	aeh	dialog	914
213	weiblich	aeh	dialog	1144
214	weiblich	aehm	monolog	540
215	weiblich	aeh	dialog	1201
216	weiblich	aehm	monolog	627
217	maennlich	stille	monolog	873
218	weiblich	stille	monolog	1035
219	weiblich	aehm	dialog	1000
220	weiblich	aehm	dialog	441
221	weiblich	aehm	monolog	1362
222	maennlich	aehm	dialog	333
223	maennlich	aeh	dialog	507
224	maennlich	aeh	dialog	1173
225	weiblich	stille	dialog	1385
226	weiblich	aehm	dialog	449
227	maennlich	aehm	monolog	696
228	weiblich	stille	dialog	1125
229	maennlich	stille	dialog	312
230	maennlich	aeh	monolog	855
231	maennlich	stille	monolog	262
232	maennlich	stille	dialog	1414
233	weiblich	stille	monolog	1198
234	weiblich	aehm	dialog	882
235	maennlich	stille	dialog	735
236	weiblich	stille	monolog	889
237	weiblich	aehm	monolog	522
238	weiblich	aeh	dialog	253
239	weiblich	aeh	dialog	1004
240	maennlich	stille	dialog	1282
241	weiblich	stille	monolog	1285
242	weiblich	aeh	monolog	1174
243	weiblich	stille	monolog	671
244	maennlich	stille	dialog	672
245	weiblich	stille	dialog	358
246	maennlich	aeh	dialog	1209
247	maennlich	stille	monolog	1324
248	maennlich	aeh	dialog	1322
249	maennlich	stille	dialog	268
250	weiblich	aeh	dialog	630
251	maennlich	aehm	dialog	867
252	maennlich	aeh	dialog	510
253	weiblich	aeh	dialog	394
254	weiblich	stille	dialog	1318
255	maennlich	aeh	dialog	1051
256	weiblich	aehm	dialog	1221
257	maennlich	aeh	monolog	1540
258	maennlich	stille	monolog	627
259	weiblich	stille	dialog	366
260	weiblich	aeh	dialog	513
261	maennlich	aeh	monolog	472
262	weiblich	aeh	dialog	525
263	weiblich	aeh	monolog	569
264	maennlich	aeh	dialog	532
265	weiblich	stille	monolog	284
266	maennlich	aeh	monolog	310
267	weiblich	aehm	monolog	339
268	maennlich	aehm	dialog	1335
269	maennlich	aeh	dialog	1005
270	maennlich	stille	dialog	1297
271	maennlich	aeh	monolog	291
272	weiblich	aeh	monolog	1590
273	weiblich	stille	dialog	392
274	maennlich	stille	dialog	1248
275	weiblich	stille	monolog	943
276	maennlich	aeh	monolog	1432
277	weiblich	aeh	monolog	376
278	weiblich	aeh	dialog	1539
279	maennlich	aeh	dialog	304
280	maennlich	aeh	dialog	1118
281	maennlich	stille	dialog	470
282	weiblich	aehm	dialog	765
283	weiblich	stille	monolog	1053
284	maennlich	stille	monolog	576
285	weiblich	aeh	monolog	631
286	maennlich	stille	dialog	504
287	maennlich	stille	dialog	1539
288	maennlich	aeh	dialog	1588
289	maennlich	aehm	monolog	287
290	weiblich	aehm	dialog	977
291	maennlich	aeh	monolog	862
292	maennlich	aeh	monolog	1501
293	maennlich	stille	monolog	1166
294	weiblich	stille	dialog	1509
295	weiblich	aeh	dialog	347
296	weiblich	stille	monolog	460
297	maennlich	stille	monolog	627
298	maennlich	stille	dialog	1120
299	weiblich	stille	dialog	604
300	weiblich	aeh	monolog	1599
301	weiblich	aehm	dialog	698
302	maennlich	aeh	dialog	618
303	maennlich	stille	monolog	814
304	weiblich	aehm	dialog	531
305	maennlich	aeh	dialog	615
306	weiblich	aeh	monolog	1520
307	weiblich	aeh	monolog	783
308	maennlich	aeh	monolog	304
309	maennlich	stille	dialog	754
310	maennlich	aehm	monolog	497
311	weiblich	aehm	dialog	1574
312	maennlich	stille	dialog	867
313	weiblich	aeh	monolog	618
314	maennlich	aeh	monolog	306
315	maennlich	aeh	monolog	1236
316	weiblich	stille	monolog	586
317	maennlich	stille	dialog	1219
318	maennlich	aehm	dialog	796
319	weiblich	aehm	dialog	347
320	maennlich	stille	dialog	728
321	maennlich	stille	monolog	1252
322	weiblich	stille	monolog	421
323	maennlich	aeh	monolog	354
324	weiblich	stille	monolog	458
325	weiblich	aehm	monolog	1464
326	weiblich	aeh	monolog	1530
327	maennlich	aeh	monolog	1360
328	maennlich	aeh	monolog	295
329	weiblich	stille	dialog	1218
330	weiblich	stille	monolog	1273
331	weiblich	aehm	dialog	1229
332	maennlich	stille	dialog	1563
333	maennlich	stille	monolog	287
334	maennlich	aeh	dialog	550
335	maennlich	aehm	monolog	1311
336	maennlich	aehm	monolog	887
337	weiblich	aeh	dialog	704
338	weiblich	aehm	dialog	679
339	weiblich	stille	dialog	409
340	weiblich	aehm	monolog	1025
341	maennlich	aeh	monolog	1426
342	maennlich	aeh	dialog	1317
343	maennlich	aeh	dialog	1177
344	maennlich	aeh	dialog	616
345	weiblich	aehm	dialog	904
346	maennlich	aeh	dialog	359
347	maennlich	aeh	monolog	1141
348	maennlich	aeh	monolog	360
349	maennlich	aeh	dialog	329
350	maennlich	aehm	monolog	1258
351	maennlich	aehm	monolog	622
352	maennlich	stille	monolog	345
353	maennlich	stille	dialog	1007
354	maennlich	aehm	dialog	1468
355	weiblich	aeh	monolog	1108
356	weiblich	aeh	dialog	382
357	weiblich	aeh	monolog	817
358	weiblich	aeh	monolog	1224
359	maennlich	stille	monolog	685
360	maennlich	aeh	monolog	1035
361	weiblich	aeh	dialog	753
362	maennlich	aeh	dialog	966
363	weiblich	aehm	dialog	606
364	maennlich	stille	dialog	987
365	weiblich	stille	monolog	837
366	maennlich	stille	dialog	938
367	maennlich	aeh	monolog	1233
368	maennlich	aeh	monolog	583
369	weiblich	stille	dialog	462
370	weiblich	stille	monolog	1002
371	weiblich	stille	monolog	1432
372	maennlich	aehm	dialog	448
373	maennlich	stille	monolog	1358
374	maennlich	stille	dialog	688
375	maennlich	aeh	dialog	1279
376	maennlich	aeh	dialog	961
377	maennlich	stille	monolog	1229
378	maennlich	aeh	dialog	1567
379	maennlich	aeh	monolog	529
380	weiblich	stille	monolog	945
381	maennlich	aeh	dialog	568
382	maennlich	stille	dialog	1165
383	maennlich	aeh	dialog	825
384	weiblich	aeh	monolog	1343
385	weiblich	aeh	dialog	1236
386	weiblich	stille	dialog	759
387	weiblich	stille	dialog	1378
388	weiblich	stille	dialog	1442
389	maennlich	aeh	monolog	405
390	weiblich	aehm	monolog	1439
391	weiblich	stille	monolog	1524
392	weiblich	aeh	monolog	1526
393	maennlich	stille	dialog	333
394	weiblich	aeh	monolog	1284
395	maennlich	aeh	dialog	1224
396	maennlich	aehm	monolog	852
397	maennlich	stille	dialog	1090
398	weiblich	stille	monolog	487
399	maennlich	aeh	monolog	751
400	weiblich	aeh	dialog	797
401	weiblich	stille	dialog	748
402	maennlich	aeh	monolog	1599
403	maennlich	aeh	monolog	1452
404	weiblich	aeh	dialog	707
405	weiblich	aeh	dialog	1245
406	weiblich	aehm	dialog	913
407	maennlich	aeh	dialog	709
408	maennlich	aeh	dialog	347
409	maennlich	aehm	dialog	1196
410	maennlich	aeh	dialog	1405
411	maennlich	aeh	monolog	560
412	weiblich	stille	dialog	557
413	maennlich	stille	dialog	869
414	weiblich	aeh	dialog	1352
415	maennlich	aehm	dialog	1485
416	weiblich	aehm	dialog	1120
417	maennlich	stille	dialog	623
418	weiblich	aehm	monolog	1227
419	maennlich	aeh	dialog	813
420	weiblich	aeh	monolog	979
421	maennlich	stille	dialog	438
422	weiblich	aeh	monolog	530
423	weiblich	stille	monolog	1037
424	maennlich	aeh	dialog	1160
425	weiblich	aehm	dialog	766
426	maennlich	aeh	dialog	1498
427	maennlich	aeh	dialog	1559
428	weiblich	stille	monolog	662
429	weiblich	aehm	dialog	1521
430	maennlich	aeh	monolog	815
431	maennlich	aeh	dialog	754
432	maennlich	stille	dialog	553
433	weiblich	aehm	dialog	776
434	maennlich	stille	dialog	1119
435	weiblich	aeh	dialog	815
436	weiblich	aeh	monolog	1105
437	weiblich	aeh	monolog	813
438	weiblich	stille	dialog	455
439	maennlich	stille	dialog	367
440	maennlich	aeh	dialog	468
441	weiblich	aehm	monolog	1463
442	weiblich	aehm	dialog	935
443	maennlich	aehm	monolog	1081
444	weiblich	aeh	dialog	1339
445	weiblich	aehm	dialog	545
446	weiblich	aeh	dialog	1518
447	weiblich	aehm	monolog	1147
448	maennlich	stille	monolog	326
449	maennlich	stille	monolog	260
450	weiblich	aehm	monolog	1286
451	weiblich	aehm	dialog	454
452	maennlich	stille	monolog	259
453	maennlich	aeh	monolog	1507
454	weiblich	aeh	monolog	1119
455	weiblich	aehm	monolog	1159
456	weiblich	stille	dialog	1230
457	maennlich	aeh	monolog	1211
458	maennlich	aeh	dialog	411
459	weiblich	aehm	dialog	1479
460	weiblich	aehm	monolog	1146
461	maennlich	aeh	monolog	281
462	weiblich	stille	monolog	1049
463	maennlich	aeh	monolog	1496
464	maennlich	stille	dialog	775
465	weiblich	stille	dialog	812
466	weiblich	stille	dialog	445
467	maennlich	stille	dialog	1258
468	maennlich	aeh	dialog	819
469	maennlich	aeh	monolog	1515
470	maennlich	aeh	dialog	688
471	weiblich	stille	monolog	517
472	weiblich	aehm	dialog	864
473	maennlich	aeh	monolog	1042
474	maennlich	stille	monolog	758
475	weiblich	aeh	dialog	633
476	maennlich	stille	dialog	1253
477	maennlich	aehm	dialog	640
478	weiblich	aehm	dialog	1570
479	weiblich	aeh	monolog	425
480	weiblich	aeh	dialog	1510
481	weiblich	aehm	dialog	943
482	weiblich	aehm	monolog	1588
483	weiblich	aehm	monolog	1384
484	weiblich	aeh	dialog	424
485	weiblich	aehm	dialog	529
486	maennlich	aeh	monolog	633
487	weiblich	aeh	monolog	487
488	maennlich	aehm	monolog	877
489	weiblich	aehm	dialog	532
490	weiblich	aeh	dialog	417
491	weiblich	aehm	monolog	898
492	maennlich	stille	dialog	1555
493	maennlich	aeh	dialog	1307
494	weiblich	aehm	monolog	527
495	weiblich	stille	monolog	1247
496	maennlich	aeh	dialog	1584
497	weiblich	aeh	dialog	831
498	maennlich	aeh	dialog	1348
499	weiblich	aehm	monolog	509
500	maennlich	stille	monolog	251
501	maennlich	aeh	monolog	1136
502	weiblich	aeh	dialog	497
503	maennlich	aehm	monolog	793
504	weiblich	aehm	dialog	276
505	maennlich	aehm	monolog	1352
506	maennlich	aeh	dialog	1008
507	weiblich	aehm	monolog	498
508	weiblich	aehm	dialog	840
509	weiblich	stille	monolog	1227
510	weiblich	aeh	dialog	276
511	weiblich	aeh	dialog	650
512	maennlich	aehm	monolog	1014
513	maennlich	aeh	dialog	469
514	weiblich	aeh	monolog	970
515	weiblich	aehm	dialog	677
516	maennlich	aeh	monolog	1134
517	weiblich	stille	dialog	1556
518	weiblich	aehm	dialog	764
519	maennlich	aeh	monolog	1038
520	maennlich	stille	dialog	1141
521	weiblich	aehm	monolog	1352
522	weiblich	aehm	monolog	745
523	weiblich	aeh	dialog	1120
524	maennlich	aehm	monolog	1013
525	weiblich	stille	dialog	808
526	maennlich	aeh	monolog	1499
527	weiblich	aehm	dialog	348
528	weiblich	aehm	monolog	949
529	weiblich	aehm	dialog	508
530	weiblich	stille	dialog	1082
531	maennlich	aehm	dialog	389
532	maennlich	aeh	dialog	1027
533	maennlich	aehm	monolog	539
534	weiblich	stille	monolog	327
535	weiblich	stille	dialog	1544
536	maennlich	stille	monolog	692
537	weiblich	stille	dialog	814
538	maennlich	stille	dialog	1357
539	weiblich	aehm	monolog	654
540	weiblich	aeh	monolog	509
541	maennlich	aeh	dialog	1407
542	maennlich	stille	dialog	668
543	maennlich	aehm	monolog	1171
544	maennlich	stille	monolog	1136
545	weiblich	aeh	monolog	396
546	weiblich	stille	dialog	506
547	weiblich	stille	dialog	850
548	maennlich	aeh	monolog	576
549	weiblich	aeh	monolog	913
550	maennlich	aeh	monolog	712
551	weiblich	stille	monolog	1496
552	maennlich	aeh	dialog	909
553	maennlich	aeh	monolog	592
554	maennlich	stille	monolog	1506
555	weiblich	aeh	monolog	791
556	maennlich	aeh	monolog	1219
557	maennlich	aehm	dialog	778
558	weiblich	aeh	dialog	1024
559	maennlich	aeh	monolog	1207
560	maennlich	stille	monolog	1441
561	weiblich	aeh	dialog	577
562	weiblich	aehm	monolog	488
563	maennlich	aeh	dialog	1412
564	weiblich	stille	monolog	592
565	maennlich	stille	dialog	969
566	weiblich	aehm	monolog	837
567	maennlich	stille	monolog	1136
568	maennlich	aeh	dialog	598
569	maennlich	aehm	dialog	256
570	maennlich	stille	dialog	1009
571	weiblich	stille	monolog	1117
572	weiblich	aeh	monolog	548
573	weiblich	stille	dialog	663
574	maennlich	aeh	monolog	586
575	maennlich	stille	monolog	700
576	maennlich	aehm	monolog	666
577	weiblich	stille	monolog	632
578	weiblich	aehm	dialog	806
579	weiblich	stille	monolog	413
580	maennlich	stille	dialog	861
581	maennlich	aehm	monolog	711
582	weiblich	stille	monolog	1241
583	maennlich	aeh	monolog	1260
584	weiblich	stille	dialog	966
585	maennlich	stille	monolog	284
586	maennlich	stille	dialog	1001
587	maennlich	aeh	monolog	1301
588	weiblich	stille	dialog	1045
589	weiblich	aehm	dialog	888
590	maennlich	aeh	dialog	425
591	weiblich	stille	monolog	1545
592	weiblich	stille	dialog	774
593	maennlich	stille	dialog	1474
594	maennlich	aeh	dialog	1295
595	weiblich	aeh	dialog	1432
596	weiblich	aeh	dialog	319
597	weiblich	aehm	dialog	1349
598	maennlich	aehm	dialog	1544
599	weiblich	stille	dialog	1354
600	maennlich	aehm	dialog	381
601	weiblich	aehm	dialog	1560
602	weiblich	aeh	monolog	1408
603	maennlich	stille	monolog	595
604	maennlich	aeh	dialog	1114
605	maennlich	aeh	dialog	1557
606	maennlich	aeh	monolog	782
607	weiblich	aeh	dialog	1372
608	weiblich	aehm	dialog	297
609	weiblich	aeh	dialog	791
610	weiblich	stille	dialog	664
611	maennlich	aeh	monolog	618
612	maennlich	stille	dialog	1271
613	weiblich	stille	dialog	738
614	weiblich	aeh	dialog	622
615	maennlich	stille	monolog	447
616	maennlich	aehm	monolog	1299
617	maennlich	aeh	dialog	812
618	weiblich	aehm	monolog	1115
619	maennlich	aehm	dialog	1378
620	maennlich	aeh	dialog	586
621	weiblich	aehm	dialog	1192
622	maennlich	aehm	monolog	1235
623	weiblich	aeh	dialog	1152
624	weiblich	stille	dialog	1266
625	weiblich	stille	monolog	640
626	weiblich	aehm	monolog	715
627	weiblich	stille	dialog	1047
628	weiblich	stille	dialog	1454
629	maennlich	aehm	monolog	980
630	maennlich	stille	dialog	825
631	maennlich	aehm	monolog	649
632	maennlich	aeh	monolog	974
633	weiblich	aehm	dialog	911
634	maennlich	aeh	monolog	833
635	maennlich	aeh	monolog	543
636	weiblich	aehm	dialog	889
637	maennlich	stille	monolog	280
638	maennlich	stille	monolog	869
639	weiblich	aeh	monolog	634
640	weiblich	stille	dialog	1269
641	weiblich	stille	dialog	1542
642	maennlich	aehm	monolog	1112
643	weiblich	aeh	monolog	1408
644	weiblich	stille	dialog	962
645	weiblich	aeh	monolog	1161
646	maennlich	stille	dialog	1392
647	maennlich	aeh	monolog	1245
648	maennlich	stille	dialog	1088
649	weiblich	aehm	monolog	912
650	maennlich	aeh	dialog	570
651	weiblich	aehm	monolog	1147
652	weiblich	aehm	dialog	1162
653	weiblich	stille	monolog	769
654	maennlich	stille	dialog	1145
655	weiblich	stille	monolog	538
656	maennlich	aehm	dialog	378
657	maennlich	aeh	dialog	621
658	maennlich	aeh	dialog	898
659	maennlich	stille	dialog	897
660	maennlich	stille	monolog	1063
661	maennlich	stille	dialog	897
662	weiblich	stille	dialog	1322
663	maennlich	aehm	dialog	889
664	weiblich	stille	monolog	1159
665	weiblich	stille	dialog	950
666	maennlich	aeh	monolog	1148
667	maennlich	aeh	dialog	1103
668	maennlich	aeh	monolog	1128
669	weiblich	stille	monolog	1506
670	maennlich	stille	dialog	669
671	maennlich	stille	monolog	703
672	maennlich	aeh	dialog	1318
673	maennlich	aeh	dialog	556
674	weiblich	stille	dialog	1367
675	weiblich	aehm	monolog	1418
676	maennlich	aeh	dialog	314
677	weiblich	stille	dialog	1177
678	maennlich	aeh	monolog	894
679	weiblich	stille	monolog	1153
680	maennlich	stille	monolog	1416
681	weiblich	aeh	monolog	380
682	maennlich	stille	dialog	323
683	weiblich	stille	monolog	772
684	maennlich	aehm	dialog	1263
685	weiblich	aeh	dialog	431
686	weiblich	aehm	dialog	760
687	weiblich	aehm	dialog	928
688	maennlich	stille	dialog	1526
689	weiblich	stille	monolog	969
690	maennlich	aehm	monolog	829
691	weiblich	aeh	monolog	314
692	weiblich	aeh	dialog	1489
693	weiblich	aehm	dialog	1160
694	maennlich	aeh	dialog	483
695	weiblich	stille	dialog	611
696	maennlich	aeh	dialog	266
697	maennlich	aehm	dialog	1324
698	weiblich	aehm	monolog	1054
699	weiblich	aehm	monolog	1111
700	maennlich	aeh	monolog	261
701	weiblich	stille	monolog	831
702	weiblich	aehm	monolog	1569
703	maennlich	stille	dialog	464
704	weiblich	aeh	monolog	1432
705	maennlich	aeh	dialog	615
706	maennlich	aeh	monolog	1533
707	maennlich	stille	monolog	676
708	maennlich	aeh	dialog	933
709	weiblich	aeh	dialog	364
710	weiblich	stille	dialog	734
711	weiblich	aehm	dialog	1091
712	maennlich	aeh	dialog	1213
713	weiblich	aeh	dialog	1413
714	weiblich	aeh	dialog	868
715	weiblich	aehm	monolog	461
716	maennlich	aeh	dialog	606
717	maennlich	aeh	monolog	1370
718	maennlich	stille	monolog	895
719	weiblich	aeh	monolog	1564
720	maennlich	aeh	monolog	567
721	maennlich	aeh	dialog	938
722	maennlich	stille	dialog	379
723	weiblich	aehm	dialog	1373
724	weiblich	aeh	monolog	896
725	weiblich	aehm	monolog	863
726	weiblich	aehm	dialog	1374
727	weiblich	aehm	dialog	416
728	maennlich	stille	monolog	875
729	maennlich	aehm	dialog	1383
730	weiblich	stille	dialog	1486
731	weiblich	aeh	monolog	797
732	weiblich	stille	dialog	639
733	maennlich	aeh	dialog	990
734	weiblich	stille	monolog	1112
735	maennlich	stille	monolog	867
736	maennlich	aehm	monolog	444
737	maennlich	aehm	dialog	1501
738	maennlich	aehm	dialog	1247
739	weiblich	stille	dialog	603
740	weiblich	aeh	monolog	1594
741	weiblich	aeh	dialog	1379
742	maennlich	stille	monolog	1382
743	maennlich	aehm	monolog	1347
744	weiblich	aehm	dialog	1307
745	maennlich	aeh	dialog	513
746	weiblich	stille	dialog	884
747	weiblich	aeh	dialog	464
748	maennlich	stille	monolog	1480
749	maennlich	stille	dialog	1105
750	weiblich	aehm	dialog	1227
751	maennlich	stille	dialog	1054
752	weiblich	aehm	dialog	663
753	maennlich	stille	monolog	838
754	maennlich	aehm	monolog	305
755	weiblich	aehm	dialog	788
756	maennlich	aeh	dialog	1375
757	maennlich	aeh	dialog	827
758	maennlich	aehm	monolog	512
759	weiblich	aehm	monolog	275
760	maennlich	aeh	monolog	714
761	weiblich	aehm	monolog	1531
762	maennlich	aehm	monolog	1568
763	weiblich	aehm	monolog	430
764	maennlich	aeh	monolog	439
765	weiblich	aeh	monolog	1042
766	weiblich	aeh	monolog	1106
767	maennlich	aeh	monolog	880
768	weiblich	stille	dialog	439
769	weiblich	aehm	dialog	1349
770	weiblich	aehm	monolog	1036
771	weiblich	stille	dialog	1313
772	weiblich	aeh	monolog	946
773	maennlich	stille	monolog	508
774	maennlich	aehm	monolog	812
775	maennlich	aeh	dialog	1573
776	maennlich	stille	monolog	374
777	weiblich	aehm	dialog	640
778	weiblich	aeh	monolog	1287
779	maennlich	aehm	monolog	1072
780	maennlich	stille	monolog	646
781	weiblich	aehm	dialog	1587
782	weiblich	aeh	dialog	291
783	weiblich	aehm	dialog	1426
784	weiblich	aeh	monolog	1470
785	maennlich	aehm	dialog	686
786	weiblich	stille	dialog	901
787	weiblich	stille	dialog	719
788	weiblich	stille	dialog	836
789	weiblich	aeh	dialog	903
790	weiblich	stille	dialog	1385
791	maennlich	aeh	dialog	876
792	weiblich	aeh	dialog	757
793	maennlich	stille	monolog	528
794	maennlich	aeh	dialog	1307
795	weiblich	stille	monolog	323
796	weiblich	aehm	monolog	409
797	maennlich	stille	dialog	426
798	weiblich	aehm	monolog	869
799	maennlich	stille	monolog	1538
800	maennlich	stille	monolog	1350
801	weiblich	aeh	dialog	703
802	maennlich	stille	monolog	961
803	weiblich	aeh	monolog	257
804	weiblich	aeh	dialog	1565
805	weiblich	stille	monolog	1167
806	weiblich	aeh	monolog	1265
807	maennlich	aeh	monolog	789
808	weiblich	aehm	monolog	340
809	weiblich	aehm	dialog	403
810	maennlich	stille	dialog	1177
811	weiblich	aeh	dialog	1269
812	maennlich	stille	monolog	1492
813	maennlich	aeh	monolog	1094
814	maennlich	stille	dialog	887
815	maennlich	aeh	dialog	1374
